corner case,edge case,solution mean,distribution
4a3,8e,13.329,15: 5.81%;  14: 40.64%;  13: 37.84%;  12: 12.71%;  11: 2.4%;  10: 0.6%
4a4,0e,14.562,16: 6.81%;  15: 51.05%;  14: 35.04%;  13: 5.71%;  12: 1.4%
4a4,2e,14.403,16: 2.8%;  15: 45.55%;  14: 42.14%;  13: 8.31%;  12: 1.1%;  11: 0.1%
4a4,4e,14.367,16: 3.1%;  15: 44.64%;  14: 39.44%;  13: 11.71%;  12: 0.9%;  11: 0.2%
4a4,6e,14.443,16: 3.9%;  15: 47.85%;  14: 39.14%;  13: 7.01%;  12: 2.0%;  11: 0.1%
4a4,8e,14.511,16: 6.51%;  15: 49.45%;  14: 34.13%;  13: 8.61%;  12: 1.2%;  10: 0.1%
4b2,0e,12.878,15: 0.7%;  14: 23.72%;  13: 46.65%;  12: 22.02%;  11: 5.41%;  10: 1.5%
4b2,2e,12.621,14: 14.01%;  13: 47.35%;  12: 28.63%;  11: 7.41%;  10: 1.9%;  9: 0.7%
4b2,4e,12.736,15: 0.3%;  14: 18.22%;  13: 47.45%;  12: 24.82%;  11: 7.41%;  10: 1.6%;  9: 0.2%
4b2,6e,12.592,15: 0.2%;  14: 15.32%;  13: 43.84%;  12: 28.43%;  11: 9.11%;  10: 2.5%;  9: 0.6%
4b2,8e,12.83,15: 0.7%;  14: 23.32%;  13: 43.44%;  12: 24.62%;  11: 6.71%;  10: 1.1%;  9: 0.1%
4b3,0e,13.289,15: 5.41%;  14: 39.44%;  13: 38.34%;  12: 12.91%;  11: 3.3%;  10: 0.6%
4b3,2e,13.452,15: 7.51%;  14: 46.85%;  13: 32.33%;  12: 10.71%;  11: 2.0%;  10: 0.5%;  9: 0.1%
4b3,4e,13.522,16: 0.1%;  15: 9.81%;  14: 44.94%;  13: 34.23%;  12: 9.31%;  11: 1.4%;  10: 0.2%
4b3,6e,13.477,15: 7.71%;  14: 45.85%;  13: 35.44%;  12: 8.91%;  11: 1.8%;  10: 0.2%;  9: 0.1%
4b3,8e,13.294,15: 5.91%;  14: 40.04%;  13: 36.54%;  12: 13.51%;  11: 3.3%;  10: 0.6%;  8: 0.1%
4b4,0e,14.517,16: 6.51%;  15: 49.05%;  14: 35.54%;  13: 7.71%;  12: 1.0%;  11: 0.1%;  10: 0.1%
4b4,2e,14.403,16: 3.3%;  15: 47.55%;  14: 37.44%;  13: 9.91%;  12: 1.5%;  11: 0.3%
4b4,4e,14.346,16: 3.5%;  15: 42.64%;  14: 40.54%;  13: 11.71%;  12: 1.5%;  11: 0.1%
4b4,6e,14.405,16: 2.7%;  15: 48.35%;  14: 37.34%;  13: 10.11%;  12: 1.4%;  11: 0.1%
4b4,8e,14.528,16: 6.01%;  15: 50.45%;  14: 35.04%;  13: 7.61%;  12: 0.6%;  11: 0.3%
4b5,0e,14.29,16: 1.3%;  15: 43.14%;  14: 40.54%;  13: 13.41%;  12: 1.5%;  11: 0.1%
4b5,2e,14.261,16: 1.1%;  15: 38.84%;  14: 46.55%;  13: 12.21%;  12: 1.2%;  11: 0.1%
4b5,4e,14.296,16: 1.8%;  15: 41.44%;  14: 43.04%;  13: 12.21%;  12: 1.3%;  11: 0.2%
4b5,6e,14.224,16: 2.0%;  15: 35.24%;  14: 47.35%;  13: 14.01%;  12: 1.4%
4b5,8e,14.338,16: 2.1%;  15: 44.94%;  14: 40.34%;  13: 10.01%;  12: 2.5%;  11: 0.1% 
