corner case,edge case,solution mean,distribution
4b3,0e,13.354,15: 8.08%;  14: 39.39%;  13: 35.35%;  12: 14.14%;  11: 3.03%
4b3,2e,13.394,15: 6.06%;  14: 47.47%;  13: 31.31%;  12: 11.11%;  11: 3.03%;  10: 1.01%
4b3,4e,13.545,15: 10.1%;  14: 51.52%;  13: 23.23%;  12: 13.13%;  11: 2.02%
4b3,6e,13.505,15: 11.11%;  14: 42.42%;  13: 34.34%;  12: 10.1%;  11: 2.02%
4b3,8e,13.283,15: 6.06%;  14: 30.3%;  13: 50.51%;  12: 12.12%;  11: 1.01%
4b4,0e,14.505,16: 5.05%;  15: 51.52%;  14: 35.35%;  13: 5.05%;  12: 3.03%
4b4,2e,14.475,16: 2.02%;  15: 51.52%;  14: 38.38%;  13: 8.08%
4b4,4e,14.273,16: 1.01%;  15: 42.42%;  14: 41.41%;  13: 13.13%;  12: 2.02%
4b4,6e,14.485,16: 5.05%;  15: 48.48%;  14: 36.36%;  13: 10.1%
4b4,8e,14.495,16: 9.09%;  15: 47.47%;  14: 31.31%;  13: 9.09%;  12: 2.02%;  11: 1.01%
4b5,0e,14.263,16: 2.02%;  15: 39.39%;  14: 43.43%;  13: 13.13%;  12: 2.02%
4b5,2e,14.182,15: 38.38%;  14: 46.46%;  13: 11.11%;  12: 3.03%;  11: 1.01%
4b5,4e,14.354,16: 2.02%;  15: 46.46%;  14: 38.38%;  13: 11.11%;  12: 2.02%
4b5,6e,14.384,16: 1.01%;  15: 46.46%;  14: 43.43%;  13: 8.08%;  12: 1.01%
4b5,8e,14.485,16: 3.03%;  15: 44.44%;  14: 50.51%;  13: 2.02%
