corners,count,mean
0,23,12.478260869565217
1,208,12.39423076923077
2,1687,12.375222288085359
3,8175,12.313761467889908
4,18661,12.363431756068806
5,34589,12.514094076151377
6,68653,12.65845629469943
7,121264,12.982946298984034
8,210789,13.406506032098449
9,311537,13.869829265865691
10,209362,14.238037466206857
11,15052,14.699840552750466
